field1,COUNT,Star,Year,University,POS
0,7,2 Star,2019,Akron,DEFENSE
1,6,2 Star,2019,Akron,OFFENSE
2,3,2 Star,2019,Akron,SPECIAL
3,6,3 Star,2019,Akron,DEFENSE
4,3,3 Star,2019,Akron,OFFENSE
21,3,2 Star,2019,Alabama,OFFENSE
22,1,3 Star,2019,Alabama,OFFENSE
23,1,3 Star,2019,Alabama,SPECIAL
24,14,4 Star,2019,Alabama,DEFENSE
25,10,4 Star,2019,Alabama,OFFENSE
26,1,5 Star,2019,Alabama,DEFENSE
27,2,5 Star,2019,Alabama,OFFENSE
50,1,2 Star,2019,App State,OFFENSE
51,2,2 Star,2019,App State,SPECIAL
52,10,3 Star,2019,App State,DEFENSE
53,6,3 Star,2019,App State,OFFENSE
54,1,3 Star,2019,App State,SPECIAL
68,10,3 Star,2019,Arizona,DEFENSE
69,7,3 Star,2019,Arizona,OFFENSE
70,2,3 Star,2019,Arizona,SPECIAL
71,1,4 Star,2019,Arizona,OFFENSE
87,3,2 Star,2019,Arizona St.,DEFENSE
88,1,2 Star,2019,Arizona St.,OFFENSE
89,7,3 Star,2019,Arizona St.,DEFENSE
90,13,3 Star,2019,Arizona St.,OFFENSE
91,1,3 Star,2019,Arizona St.,SPECIAL
92,3,4 Star,2019,Arizona St.,DEFENSE
93,2,4 Star,2019,Arizona St.,OFFENSE
113,1,2 Star,2019,Arkansas,DEFENSE
114,4,2 Star,2019,Arkansas,OFFENSE
115,1,2 Star,2019,Arkansas,SPECIAL
116,6,3 Star,2019,Arkansas,DEFENSE
117,12,3 Star,2019,Arkansas,OFFENSE
118,2,3 Star,2019,Arkansas,SPECIAL
119,5,4 Star,2019,Arkansas,DEFENSE
120,6,4 Star,2019,Arkansas,OFFENSE
138,5,2 Star,2019,Arkansas St.,DEFENSE
139,5,2 Star,2019,Arkansas St.,OFFENSE
140,6,3 Star,2019,Arkansas St.,DEFENSE
141,11,3 Star,2019,Arkansas St.,OFFENSE
142,1,3 Star,2019,Arkansas St.,SPECIAL
154,1,2 Star,2019,Auburn,OFFENSE
155,3,3 Star,2019,Auburn,DEFENSE
156,5,3 Star,2019,Auburn,OFFENSE
157,6,4 Star,2019,Auburn,DEFENSE
158,5,4 Star,2019,Auburn,OFFENSE
159,3,4 Star,2019,Auburn,SPECIAL
160,1,5 Star,2019,Auburn,DEFENSE
177,2,2 Star,2019,Ball St.,DEFENSE
178,5,2 Star,2019,Ball St.,OFFENSE
