field1,COUNT,Star,Year,University,POS
2495,4,3 Star,2020,Washington,SPECIAL
2496,1,4 Star,2020,Washington,DEFENSE
2497,7,4 Star,2020,Washington,OFFENSE
2498,1,4 Star,2020,Washington,SPECIAL
2499,1,5 Star,2020,Washington,DEFENSE
2516,1,2 Star,2020,Washington St.,OFFENSE
2517,14,3 Star,2020,Washington St.,DEFENSE
2518,10,3 Star,2020,Washington St.,OFFENSE
2519,2,3 Star,2020,Washington St.,SPECIAL
2520,1,4 Star,2020,Washington St.,DEFENSE
2534,1,2 Star,2020,West Virginia,SPECIAL
2535,12,3 Star,2020,West Virginia,DEFENSE
2536,14,3 Star,2020,West Virginia,OFFENSE
2537,1,3 Star,2020,West Virginia,SPECIAL
2538,1,4 Star,2020,West Virginia,DEFENSE
2555,3,2 Star,2020,Western Ky.,DEFENSE
2556,2,2 Star,2020,Western Ky.,OFFENSE
2557,11,3 Star,2020,Western Ky.,DEFENSE
2558,11,3 Star,2020,Western Ky.,OFFENSE
2559,2,3 Star,2020,Western Ky.,SPECIAL
2573,1,2 Star,2020,Western Mich.,OFFENSE
2574,2,2 Star,2020,Western Mich.,SPECIAL
2575,9,3 Star,2020,Western Mich.,DEFENSE
2576,8,3 Star,2020,Western Mich.,OFFENSE
2577,3,3 Star,2020,Western Mich.,SPECIAL
2593,1,2 Star,2020,Wisconsin,DEFENSE
2594,1,2 Star,2020,Wisconsin,OFFENSE
2595,8,3 Star,2020,Wisconsin,DEFENSE
2596,8,3 Star,2020,Wisconsin,OFFENSE
2597,2,4 Star,2020,Wisconsin,DEFENSE
2598,3,4 Star,2020,Wisconsin,OFFENSE
2617,2,2 Star,2020,Wyoming,DEFENSE
2618,2,2 Star,2020,Wyoming,OFFENSE
2619,1,2 Star,2020,Wyoming,SPECIAL
2620,6,3 Star,2020,Wyoming,DEFENSE
2621,11,3 Star,2020,Wyoming,OFFENSE
2622,1,3 Star,2020,Wyoming,SPECIAL
